timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:50:11.223Z,OK,archive-people,1.27 Charter Walk Burnley\1.27 Charter Walk - 2015 Proposal v1.pptx,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/1.27 Charter Walk - 2015 Proposal v1.pptx,12170662,
2026-01-19T10:50:15.116Z,OK,archive-product,1.27 Charter Walk Burnley\1.27 Charter Walk - 2015 Proposal v2.pdf,prospects-and-clients-product-c044accb9f/1.27 Charter Walk Burnley/1.27 Charter Walk - 2015 Proposal v2.pdf,3858200,
2026-01-19T10:50:26.398Z,OK,archive-people,1.27 Charter Walk Burnley\1.27 Charter Walk - 2015 Proposal v2.pptx,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/1.27 Charter Walk - 2015 Proposal v2.pptx,12803727,
2026-01-19T10:50:26.681Z,OK,archive-product,1.27 Charter Walk Burnley\1.27 Charter Walk - IdoLight Requirement.pdf,prospects-and-clients-product-c044accb9f/1.27 Charter Walk Burnley/1.27 Charter Walk - IdoLight Requirement.pdf,8110,
2026-01-19T10:50:26.877Z,OK,archive-people,1.27 Charter Walk Burnley\2016\Charter Walk main install RS 2016.xls,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/2016/Charter Walk main install RS 2016.xls,62976,
2026-01-19T10:50:27.049Z,OK,archive-people,1.27 Charter Walk Burnley\2016\Charter Walk main install RS 2017.xls,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/2016/Charter Walk main install RS 2017.xls,54784,
2026-01-19T10:50:27.225Z,OK,archive-people,1.27 Charter Walk Burnley\2016\Charter Walk MS 2016.doc,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/2016/Charter Walk MS 2016.doc,32768,
2026-01-19T10:50:27.477Z,OK,archive-people,1.27 Charter Walk Burnley\2016\Charter Walk MS 2017.doc,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/2016/Charter Walk MS 2017.doc,32256,
2026-01-19T10:50:38.856Z,OK,archive-people,1.27 Charter Walk Burnley\2016\CharterWalk_1.27_InstallationGuide_2016_V1.pptx,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/2016/CharterWalk_1.27_InstallationGuide_2016_V1.pptx,12009631,
2026-01-19T10:50:38.857Z,SKIP,,1.27 Charter Walk Burnley\2016\Map\.DS_Store,,6148,SKIP_no_extension
